"blog_id","blog_name","blog_description","blog_url","blog_author","blog_author_twitter_username","blog_rss_feed","blog_tags",id,blog_RSSCrawl_active,blog_last_post_timestamp,"blog_crawlingType","created_at","updated_at",hours_bw_posts_median,hours_bw_posts_average,"reason_for_deactivation","blog_thumb"
"abirghattas","Abir Ghattas","Activist, blogger, photographer, techie, feminist • Advocacy Manager","http://abirghattas.com/","Abir Ghattas","abirghattas","http://abirghattas.com/feed/","activism, society",2,1,1488443160,"","0000-00-00 00:00:00","2017-03-02 08:30:07",NULL,NULL,NULL,"abirghattas"
"alexandra-designs","Dounia Alexandra Design","Master's student in Packaging Design at Pratt Institute. I have a BS in Graphic Design from LAU, Beirut. I am a freelancer on the side","http://alexandra-designs.com/","Dounia Nassar","dounianassar","http://alexandra-designs.com/feed/","design, art",3,1,1453225260,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"alexandra-designs"
"alextohme","Strategy and Business in the Middle East","Covering digital, retail, startups, innovation, futurism, mobile and other","alextohme.com","Alex Tohme","alextohme","http://alextohme.com/rss","business, tech",4,1,1500991200,"","0000-00-00 00:00:00","2017-07-25 16:30:10",NULL,NULL,NULL,"alextohme"
"arabglot","arabglot الناطق بالضاد","culture-society-language of the Arab world","http://www.arabglot.com","Christopher Neil","arabglot","http://www.arabglot.com/feeds/posts/default","politics",5,0,1422273600,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","arabglot"
"arabsaga","ArabSaga","A reading of current developments and future trends in the Middle East.","http://arabsaga.blogspot.com","ArabSaga","","http://arabsaga.blogspot.com/feeds/posts/default","politics",6,0,1398490260,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","arabsaga"
"armigatus","Armigatus","Random events in Lebanon","http://armigatus.wordpress.com/","Armigatus","","http://armigatus.wordpress.com/feed","society",7,0,1375422060,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","armigatus"
"atrissi","The Blog of Tarek Atrissi","Arabic Type, Typography, Design and Visual Culture: The Blog of Tarek Atrissi","http://blog.atrissi.com/","Tarek Atrissi","atrissi","http://blog.atrissi.com/feed/","design, art",8,0,1432632240,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","atrissi"
"backinbeirut","Back in Beirut","Articles and snapshots: Lebanon, the Middle East and further afield","http://backinbeirut.blogspot.com/","Paul Cochrane","","http://backinbeirut.blogspot.com/feeds/posts/default","tech, business",9,1,1507019220,"","0000-00-00 00:00:00","2017-10-03 08:30:04",NULL,NULL,NULL,"backinbeirut"
"bambisoapbox","Bambi's Soapbox","Bambi’s Soapbox is a blog about urban society, cultural heritage, and being Lebanese. It is written by Farrah Berrou. ","http://bambisoapbox.wordpress.com/","Farrah Berrou","farrahberrou","http://bambisoapbox.wordpress.com/feed/","society",10,1,1507014180,"","0000-00-00 00:00:00","2017-10-03 07:10:08",NULL,NULL,NULL,"bambisoapbox"
"husseinitany","Hussein Itany","Exposed","https://husseinitany.wordpress.com/","","Husseinitany","https://husseinitany.wordpress.com/feed/","society",426,0,1421780340,"","2015-08-02 07:22:30","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","husseinitany"
"beirut5ampere","بيروت 5 امبير","رئيس كتلة الفظاعة - منسق اتحاد المنشقين عن قوى الأمر الواقع","http://www.beirut5ampere.org/","MoxyBeirut","moxybeirut","http://www.beirut5ampere.org/?feed=rss2","society,politics",11,1,1490636580,"","0000-00-00 00:00:00","2017-03-27 17:50:12",NULL,NULL,NULL,"beirut5ampere"
"beirutbeltway","From Beirut to the Beltway","\"I care not much for a man's religion whose dog and cat are not the better for it\" -- Abraham Lincoln","http://www.beirutbeltway.com/","AK","beirutbeltway","http://www.beirutbeltway.com/beirutbeltway/atom.xml","politics",12,0,1447772700,"","0000-00-00 00:00:00","2017-01-03 05:36:13",NULL,NULL,"More than 1 year since last post","beirutbeltway"
"beirutdriveby","Beirut Drive-by Shooting","Here are some of what Lebanese are subjected to on a daily basis. Enjoy or suffer along with us.","http://beirutdriveby.blogspot.com/","Driveby","beirutdriveby","http://beirutdriveby.blogspot.com/feeds/posts/default","society,photography",13,0,1372063200,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","beirutdriveby"
"beirutista","Beirutista","Serving Beirut to the public.","http://beirutista.blogspot.com/","Danielle Issa","beirutista","http://beirutista.blogspot.com/feeds/posts/default","society, food",14,1,1507527540,"","0000-00-00 00:00:00","2017-10-09 05:40:08",NULL,NULL,NULL,"beirutista"
"beirutiyat","خربشات بيروتية","لم يعد هناك مكان آمن سوى سنتيمترات مربعة في الجمجمة – جورج أورويل","http://beirutiyat.me","Assaad Thebian","beirutiyat","http://beirutiyat.me/feed/","activism, politics",15,0,1404316440,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","beirutiyat"
"tarekchemaly","Tarek Chemaly","Wordsmith and artchivist.","http://tarekchemaly.blogspot.com","Tarek Chemaly","tarekchemaly","http://tarekchemaly.blogspot.com/feeds/posts/default","design",16,1,1507530120,"","0000-00-00 00:00:00","2017-10-09 06:30:09",NULL,NULL,NULL,"1489173559-tarekchemaly"
"beirutreport","The Beirut Report","An inside look at Lebanon, the Middle East and its media","http://beirutreport.com","Habib Battah","habib_b","http://www.beirutreport.com/feed","society, politics",17,1,1504731420,"","0000-00-00 00:00:00","2017-09-06 21:00:16",NULL,NULL,NULL,"beirutreport"
"beirutspring","Beirut Spring","Blogging Lebanese politics, business and society since 2005","http://beirutspring.com","Mustapha Hamoui","beirutspring","http://beirutspring.com/feed","politics, society",18,1,1481876700,"","0000-00-00 00:00:00","2016-12-16 08:30:23",NULL,NULL,NULL,"beirutspring"
"bikaffe","Bikaffe","اكتب ب كفّي ما يكفي لنقول بكفّي !","http://bikaffe.wordpress.com/","Rabih Amhaz","bikaffe","http://bikaffe.wordpress.com/feed/","politics",19,1,1467451200,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"bikaffe"
"bilamaliyeh","Bil amaliyeh","باللبناني .... المشبرح","http://bilamaliyeh.wordpress.com/","Milad Issa","miladissa","http://bilamaliyeh.wordpress.com/feed/","politics",20,1,1505606400,"","0000-00-00 00:00:00","2017-09-17 00:10:12",NULL,NULL,NULL,"bilamaliyeh"
"blkbtrfli","Lebanese Voices' Blog","those that should be heard have no voice, but those that shouldn't have media stations
الاعلام ليس صحافة، الواقع هو وجهة نظر، والحياة قرار
","http://blkbtrfli.wordpress.com/","Racha Ghamlouch","lebanesevoices","http://blkbtrfli.wordpress.com/feed/","activism, society",21,1,1475070180,"","0000-00-00 00:00:00","2016-09-28 13:50:19",NULL,NULL,NULL,"blkbtrfli"
"blogbaladi","Blog Baladi","a non-political Lebanese blog that tackles various issues related to the Lebanese society","http://blogbaladi.com","Najib Mitri","lenajib","http://blogbaladi.com/feed/","society",22,1,1507550340,"","0000-00-00 00:00:00","2017-10-09 12:00:19",NULL,NULL,NULL,"blogbaladi"
"bloggingfairtradelebanon","Blogging Fair Trade Lebanon","Protecting the rights and working wonditions of local producers. Helping producers find customers. Cutting out the middlemen. Paying fairer wages. Improving quality control and product design. Creating a long-term commitment","http://bloggingfairtradelebanon.blogspot.com/","Various","fairtradeleb","http://bloggingfairtradelebanon.blogspot.com/feeds/posts/default","activism, agriculture",23,1,1506359160,"","0000-00-00 00:00:00","2017-09-25 17:10:15",NULL,NULL,NULL,"bloggingfairtradelebanon"
"blogtoblague","Blog to Blague","The world as I see it (by Rita D.)","http://blogtoblague.wordpress.com/","Rita Dahdah","missrd","http://blogtoblague.wordpress.com/feed/","society",24,0,1409147700,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","blogtoblague"
"brofessionalreview","Brofessional Review","lebanese / design / advertising / fashion / media","http://brofessionalreview.com/","Admin X","brofessionalr","http://brofessionalreview.com/feed/","advertising, design",25,0,1456426140,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"brofessionalreview"
"chroniquesbeyrouthines","Chroniques beyrouthines","chroniques et reportages sur le Liban, depuis Beyrouth","http://chroniquesbeyrouthines.20minutes-blogs.fr","David Hury","beirutprints","http://chroniquesbeyrouthines.20minutes-blogs.fr/atom.xml","politics",26,0,1430900940,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","chroniquesbeyrouthines"
"cloudoflace","Cloud of Lace","All that I love in this life. From recipes to fashion, and some lifestyle & home improvement projects. It is going to feature a lot of what inspires me- big or small: Arts, grand fashion houses, local Lebanese designers, handmade ornaments and apparel, simple projects… etc","http://cloudoflace.com/","Hiba Khalil","hibakhalil","http://cloudoflace.com/feed/","fashion, society",27,1,1464852780,"","0000-00-00 00:00:00","2016-10-05 19:49:06",NULL,NULL,NULL,"cloudoflace"
"code4word","Code4word","On this blog you will find articles and tutorials that tackle web and application development related material along with posts about Microsoft platforms, products, technologies, and resources that I hope you will find interesting and informative.","http://code4word.com","Rami Sarieddine","ramiesays","http://code4word.com/feed","tech",28,1,1464968700,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"code4word"
"confettiblues","CONFETTI","Confetti is a scrapbook of the little thoughts, ideas, dreams, memories, etc that add colour to my life","http://confettiblues.wordpress.com/","Confetti","confettiblues","http://confettiblues.wordpress.com/feed/","food",29,0,1405733580,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","confettiblues"
"consumedly","Consumedly","The sweet, the bitter, the naughty, the pretty and the not-so-pretty.

A bit of food, a bit of style, dirty sheets and other thoughts.

A little bit of chocolate, a little bit of trash, laced in Agent Provocateur.

Trying not to take life too seriously, but can’t help being, feeling, acting consumedly…everything.","http://consumedly.wordpress.com/","consumedly","consumedly","http://consumedly.wordpress.com/feed/","society, food",30,1,1457568600,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"consumedly"
"countlesslittlethings","Countless Little Things","\"Little by little does the trick.\" Aesop","http://countlesslittlethings.wordpress.com/","Marie Nakhle","marienakhle","http://countlesslittlethings.wordpress.com/feed/","society",31,0,1386243720,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","countlesslittlethings"
"dirtykitchensecrets","Dirty Kitchen Secrets","Middle Eastern and Lebanese Recipes. Lick your plate clean..","http://dirtykitchensecrets.com/","Bethany Kehdy","bethanykd","http://www.dirtykitchensecrets.com/feed/","food",32,0,1398347640,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","dirtykitchensecrets"
"dustywyndow","Dusty Wyndow Blog","A total mess inside an anonymous artist's soul","http://dustywyndow.blogspot.com/","Natheer Halawani","nathhalawani","http://dustywyndow.blogspot.com/feeds/posts/default","photography",33,1,1493224260,"","0000-00-00 00:00:00","2017-04-26 17:10:25",NULL,NULL,NULL,"dustywyndow"
"endashemdash"," Nour Has a Tumblog",NULL,"http://endashemdash.com/","Nour Malaeb","nourmalaeb","http://endashemdash.com/rss","society",34,0,1412854800,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"endashemdash"
"ethiopiansuicides","Ethiopian Suicides","... and Nepalese and Eritrean and Bengali and Sri Lankan and Filipino and Malagasy who work as domestic workers in Lebanese homes.","http://ethiopiansuicides.blogspot.com/","Wissam","mdwsuicides","http://ethiopiansuicides.blogspot.com/feeds/posts/default","society",35,0,1428956700,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","ethiopiansuicides"
"eyeontheeast","Eye on the East","Following Lebanon & the Arab world so that nothing is left unsaid","http://eyeontheeast.org/","Marina Chamma","eyeontheeast","http://eyeontheeast.org/feed/","politics",36,1,1489708560,"","0000-00-00 00:00:00","2017-03-17 00:00:31",NULL,NULL,NULL,"eyeontheeast"
"fashiontotracy","Fashion To Tracy","Lebanese fashion blogs","http://www.fashiontotracy.com/","Tracey Ghazal","tracyghazal","http://www.fashiontotracy.com/feed.xml","fashion",37,1,1471346340,"","0000-00-00 00:00:00","2016-08-16 11:20:24",NULL,NULL,NULL,"fashiontotracy"
"figo29","Figo29's Blog","For football and me","http://figo29.com/","figo","figo29","http://figo29.com/feed/","sports",38,1,1469098320,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"figo29"
"freethinkinglebanon","Free Thinking Lebanon","A voice of reason from a country crippled by faith","http://freethinkinglebanon.com","Elie Atik","eli_ftl","http://www.freethinkinglebanon.com/feeds/posts/default","politics",39,0,1353103680,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","freethinkinglebanon"
"funkyozzi",".: From Beirut with Funk :.","Powered by Independence 05","http://blog.funkyozzi.com/","Liliane Assaf","funkyozzi","http://blog.funkyozzi.com/feeds/posts/default","society",40,1,1504968120,"","0000-00-00 00:00:00","2017-09-09 14:50:23",NULL,NULL,NULL,"funkyozzi"
"gghali","Gabe's","A little something about everything","http://gghali.blogspot.com/","Gabriel Ghali","gabrielghali","http://gghali.blogspot.com/feeds/posts/default","tech",41,0,1401971460,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","gghali"
"ghazayel","مجّة - مدونة محمود غزيّل","تأخذك بعيداً إلى الواقعية","http://ghazayel.com","Mahmoud Ghazayel","ghazayel","http://ghazayel.com/feed","society,politics",42,1,1507395240,"","0000-00-00 00:00:00","2017-10-07 17:00:32",NULL,NULL,NULL,"ghazayel"
"gimmemoah","GIMMEMOAH!","Because too much is not enough","http://gimmemoah.wordpress.com/","Philippe","ghphilippe","http://gimmemoah.wordpress.com/feed/","design, tech",43,0,1374438660,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","gimmemoah"
"gingerbeirut","Ginger Beirut",NULL,"http://gingerbeirut.com","Georgia Paterson Dargham","","http://www.gingerbeirut.com/feed","society",44,1,1506630300,"","0000-00-00 00:00:00","2017-09-28 20:30:27",NULL,NULL,NULL,"gingerbeirut"
"ginosblog","Gino's Blog","Everything you love and hate about Beirut","http://ginosblog.ghost.io","Gino Raidy","ginoraidy","https://medium.com/feed/ginos-blog/","society",45,1,1507032600,"","0000-00-00 00:00:00","2017-10-03 12:20:28",NULL,NULL,NULL,"1493996313-ginosblog"
